Rank,State,Maker Count
1,CA,2406
2,NY,1068
3,MA,211
4,TX,144
5,WA,126
6,CO,98
7,IL,86
8,FL,84
9,OR,84
10,DC,59
11,GA,53
12,PA,52
13,OH,49
14,NC,38
15,MI,36
16,TN,35
17,NJ,29
18,UT,28
19,MN,25
20,AZ,24
21,VA,24
22,SC,18
23,MO,16
24,RI,16
25,MD,15
26,NV,15
27,LA,11
28,VT,11
29,WI,11
30,IA,10
31,HI,9
32,IN,9
33,CT,8
34,AL,6
35,KY,6
36,AR,5
37,MT,5
38,NH,5
39,NM,5
40,KS,4
41,OK,4
42,ID,3
43,WY,2
44,AK,1
45,DE,1
46,ME,1
47,MS,1
48,NE,1
49,SD,1
50,ND,0
51,WV,0